文件,数据序号,原模板标签,规范区间,附件右端采样时刻,内部索引,说明
result1.xlsx,1,0:10-0:20,00:10-00:20,00:20,1,按左端匹配
result1.xlsx,2,0:20-0:30,00:20-00:30,00:30,2,按左端匹配
result1.xlsx,3,0:30-0:40,00:30-00:40,00:40,3,按左端匹配
result1.xlsx,4,0:40-0:50,00:40-00:50,00:50,4,按左端匹配
result1.xlsx,5,0:50-1:00,00:50-01:00,01:00,5,按左端匹配
result1.xlsx,6,1:00-1:10,01:00-01:10,01:10,6,按左端匹配
result1.xlsx,7,1:10-1:20,01:10-01:20,01:20,7,按左端匹配
result1.xlsx,8,1:20-1:30,01:20-01:30,01:30,8,按左端匹配
result1.xlsx,9,1:30-1:40,01:30-01:40,01:40,9,按左端匹配
result1.xlsx,10,1:40-1:50,01:40-01:50,01:50,10,按左端匹配
result1.xlsx,11,1:50-2:00,01:50-02:00,02:00,11,按左端匹配
result1.xlsx,12,2:00-2:10,02:00-02:10,02:10,12,按左端匹配
result1.xlsx,13,2:10-2:20,02:10-02:20,02:20,13,按左端匹配
result1.xlsx,14,2:20-2:30,02:20-02:30,02:30,14,按左端匹配
result1.xlsx,15,2:30-2:40,02:30-02:40,02:40,15,按左端匹配
result1.xlsx,16,2:40-2:50,02:40-02:50,02:50,16,按左端匹配
result1.xlsx,17,2:50-3:00,02:50-03:00,03:00,17,按左端匹配
result1.xlsx,18,3:00-3:10,03:00-03:10,03:10,18,按左端匹配
result1.xlsx,19,3:10-3:20,03:10-03:20,03:20,19,按左端匹配
result1.xlsx,20,3:20-3:30,03:20-03:30,03:30,20,按左端匹配
result1.xlsx,21,3:30-3:40,03:30-03:40,03:40,21,按左端匹配
result1.xlsx,22,3:40-3:50,03:40-03:50,03:50,22,按左端匹配
result1.xlsx,23,3:50-4:00,03:50-04:00,04:00,23,按左端匹配
result1.xlsx,24,4:00-4:10,04:00-04:10,04:10,24,按左端匹配
result1.xlsx,25,4:10-4:20,04:10-04:20,04:20,25,按左端匹配
result1.xlsx,26,4:20-4:30,04:20-04:30,04:30,26,按左端匹配
result1.xlsx,27,4:30-4:40,04:30-04:40,04:40,27,按左端匹配
result1.xlsx,28,4:40-4:50,04:40-04:50,04:50,28,按左端匹配
result1.xlsx,29,4:50-5:00,04:50-05:00,05:00,29,按左端匹配
result1.xlsx,30,5:00-5:10,05:00-05:10,05:10,30,按左端匹配
result1.xlsx,31,5:10-5:20,05:10-05:20,05:20,31,按左端匹配
result1.xlsx,32,5:20-5:30,05:20-05:30,05:30,32,按左端匹配
result1.xlsx,33,5:30-5:40,05:30-05:40,05:40,33,按左端匹配
result1.xlsx,34,5:40-5:50,05:40-05:50,05:50,34,按左端匹配
result1.xlsx,35,5:50-6:00,05:50-06:00,06:00,35,按左端匹配
result1.xlsx,36,6:00-6:10,06:00-06:10,06:10,36,按左端匹配
result1.xlsx,37,6:10-6:20,06:10-06:20,06:20,37,按左端匹配
result1.xlsx,38,6:20-6:30,06:20-06:30,06:30,38,按左端匹配
result1.xlsx,39,6:30-6:40,06:30-06:40,06:40,39,按左端匹配
result1.xlsx,40,6:40-6:50,06:40-06:50,06:50,40,按左端匹配
result1.xlsx,41,6:50-7:00,06:50-07:00,07:00,41,按左端匹配
result1.xlsx,42,7:00-7:10,07:00-07:10,07:10,42,按左端匹配
result1.xlsx,43,7:10-7:20,07:10-07:20,07:20,43,按左端匹配
result1.xlsx,44,7:20-7:30,07:20-07:30,07:30,44,按左端匹配
result1.xlsx,45,7:30-7:40,07:30-07:40,07:40,45,按左端匹配
result1.xlsx,46,7:40-7:50,07:40-07:50,07:50,46,按左端匹配
result1.xlsx,47,7:50-8:00,07:50-08:00,08:00,47,按左端匹配
result1.xlsx,48,8:00-8:10,08:00-08:10,08:10,48,按左端匹配
result1.xlsx,49,8:10-8:20,08:10-08:20,08:20,49,按左端匹配
result1.xlsx,50,8:20-8:30,08:20-08:30,08:30,50,按左端匹配
result1.xlsx,51,8:30-8:40,08:30-08:40,08:40,51,按左端匹配
result1.xlsx,52,8:40-8:50,08:40-08:50,08:50,52,按左端匹配
result1.xlsx,53,8:50-9:00,08:50-09:00,09:00,53,按左端匹配
result1.xlsx,54,9:00-9:10,09:00-09:10,09:10,54,按左端匹配
result1.xlsx,55,9:10-9:20,09:10-09:20,09:20,55,按左端匹配
result1.xlsx,56,9:20-9:30,09:20-09:30,09:30,56,按左端匹配
result1.xlsx,57,9:30-9:40,09:30-09:40,09:40,57,按左端匹配
result1.xlsx,58,9:40-9:50,09:40-09:50,09:50,58,按左端匹配
result1.xlsx,59,9:50-10:00,09:50-10:00,10:00,59,按左端匹配
result1.xlsx,60,10:00-10:10,10:00-10:10,10:10,60,按左端匹配
result1.xlsx,61,10:10-10:20,10:10-10:20,10:20,61,按左端匹配
result1.xlsx,62,10:20-10:30,10:20-10:30,10:30,62,按左端匹配
result1.xlsx,63,10:30-10:40,10:30-10:40,10:40,63,按左端匹配
result1.xlsx,64,10:40-10:50,10:40-10:50,10:50,64,按左端匹配
result1.xlsx,65,10:50-11:00,10:50-11:00,11:00,65,按左端匹配
result1.xlsx,66,11:00-11:10,11:00-11:10,11:10,66,按左端匹配
result1.xlsx,67,11:10-11:20,11:10-11:20,11:20,67,按左端匹配
result1.xlsx,68,11:20-11:30,11:20-11:30,11:30,68,按左端匹配
