model,检查,误差,状态
q2,能量守恒,4.547473508864641e-13,PASS
q2,SOC动态,9.094947017729282e-13,PASS
q2,SOC边界,0.0,PASS
q2,充放电上限,0.0,PASS
q2,非负,0.0,PASS
q2,同时充放电,0.0,PASS
q2,跨日连续,0.0,PASS
q2,费用独立核算,2.9103830456733704e-11,PASS
q2,有效计划交易恒等式,0.0,PASS
q2,紧急合并守恒,1.8189894035458565e-12,PASS
q2,有限数值,0.0,PASS
q3_A,能量守恒,4.547473508864641e-13,PASS
q3_A,SOC动态,9.094947017729282e-13,PASS
q3_A,SOC边界,0.0,PASS
q3_A,充放电上限,0.0,PASS
q3_A,非负,0.0,PASS
q3_A,同时充放电,0.0,PASS
q3_A,跨日连续,0.0,PASS
q3_A,费用独立核算,2.9103830456733704e-11,PASS
q3_A,有效计划交易恒等式,0.0,PASS
q3_A,紧急合并守恒,1.8189894035458565e-12,PASS
q3_A,有限数值,0.0,PASS
q3_B,能量守恒,4.547473508864641e-13,PASS
q3_B,SOC动态,9.094947017729282e-13,PASS
q3_B,SOC边界,0.0,PASS
q3_B,充放电上限,0.0,PASS
q3_B,非负,0.0,PASS
q3_B,同时充放电,0.0,PASS
q3_B,跨日连续,0.0,PASS
q3_B,费用独立核算,2.9103830456733704e-11,PASS
q3_B,有效计划交易恒等式,0.0,PASS
q3_B,紧急合并守恒,9.094947017729282e-13,PASS
q3_B,有限数值,0.0,PASS
q3_C,能量守恒,4.547473508864641e-13,PASS
q3_C,SOC动态,9.094947017729282e-13,PASS
q3_C,SOC边界,0.0,PASS
q3_C,充放电上限,0.0,PASS
q3_C,非负,0.0,PASS
q3_C,同时充放电,0.0,PASS
q3_C,跨日连续,0.0,PASS
q3_C,费用独立核算,2.9103830456733704e-11,PASS
q3_C,有效计划交易恒等式,2.2737367544323206e-13,PASS
q3_C,紧急合并守恒,4.547473508864641e-13,PASS
q3_C,有限数值,0.0,PASS
q3_D,能量守恒,4.547473508864641e-13,PASS
q3_D,SOC动态,9.094947017729282e-13,PASS
q3_D,SOC边界,0.0,PASS
q3_D,充放电上限,0.0,PASS
q3_D,非负,0.0,PASS
q3_D,同时充放电,0.0,PASS
q3_D,跨日连续,0.0,PASS
q3_D,费用独立核算,2.9103830456733704e-11,PASS
q3_D,有效计划交易恒等式,2.2737367544323206e-13,PASS
q3_D,紧急合并守恒,2.2737367544323206e-13,PASS
q3_D,有限数值,0.0,PASS
q42,能量守恒,4.547473508864641e-13,PASS
q42,SOC动态,9.094947017729282e-13,PASS
q42,SOC边界,0.0,PASS
q42,充放电上限,0.0,PASS
q42,非负,0.0,PASS
q42,同时充放电,0.0,PASS
q42,跨日连续,0.0,PASS
q42,费用独立核算,2.9103830456733704e-11,PASS
q42,有效计划交易恒等式,0.0,PASS
q42,紧急合并守恒,1.8189894035458565e-12,PASS
q42,有限数值,0.0,PASS
q43_A,能量守恒,4.547473508864641e-13,PASS
q43_A,SOC动态,9.094947017729282e-13,PASS
q43_A,SOC边界,0.0,PASS
q43_A,充放电上限,0.0,PASS
q43_A,非负,0.0,PASS
q43_A,同时充放电,0.0,PASS
q43_A,跨日连续,0.0,PASS
q43_A,费用独立核算,2.9103830456733704e-11,PASS
q43_A,有效计划交易恒等式,0.0,PASS
q43_A,紧急合并守恒,1.8189894035458565e-12,PASS
q43_A,有限数值,0.0,PASS
q43_B,能量守恒,4.547473508864641e-13,PASS
q43_B,SOC动态,9.094947017729282e-13,PASS
q43_B,SOC边界,0.0,PASS
q43_B,充放电上限,0.0,PASS
q43_B,非负,0.0,PASS
q43_B,同时充放电,0.0,PASS
q43_B,跨日连续,0.0,PASS
q43_B,费用独立核算,2.9103830456733704e-11,PASS
q43_B,有效计划交易恒等式,0.0,PASS
q43_B,紧急合并守恒,9.094947017729282e-13,PASS
q43_B,有限数值,0.0,PASS
q43_C,能量守恒,4.547473508864641e-13,PASS
q43_C,SOC动态,9.094947017729282e-13,PASS
q43_C,SOC边界,0.0,PASS
q43_C,充放电上限,0.0,PASS
q43_C,非负,0.0,PASS
q43_C,同时充放电,0.0,PASS
q43_C,跨日连续,0.0,PASS
q43_C,费用独立核算,2.9103830456733704e-11,PASS
q43_C,有效计划交易恒等式,2.2737367544323206e-13,PASS
q43_C,紧急合并守恒,4.547473508864641e-13,PASS
q43_C,有限数值,0.0,PASS
q43_D,能量守恒,4.547473508864641e-13,PASS
q43_D,SOC动态,9.094947017729282e-13,PASS
q43_D,SOC边界,0.0,PASS
q43_D,充放电上限,0.0,PASS
q43_D,非负,0.0,PASS
q43_D,同时充放电,0.0,PASS
q43_D,跨日连续,0.0,PASS
q43_D,费用独立核算,2.9103830456733704e-11,PASS
q43_D,有效计划交易恒等式,2.2737367544323206e-13,PASS
q43_D,紧急合并守恒,4.547473508864641e-13,PASS
q43_D,有限数值,0.0,PASS
q42_causal_price,能量守恒,4.547473508864641e-13,PASS
q42_causal_price,SOC动态,9.094947017729282e-13,PASS
q42_causal_price,SOC边界,0.0,PASS
q42_causal_price,充放电上限,0.0,PASS
q42_causal_price,非负,0.0,PASS
q42_causal_price,同时充放电,0.0,PASS
q42_causal_price,跨日连续,0.0,PASS
q42_causal_price,费用独立核算,5.820766091346741e-11,PASS
q42_causal_price,有效计划交易恒等式,0.0,PASS
q42_causal_price,紧急合并守恒,1.8189894035458565e-12,PASS
q42_causal_price,有限数值,0.0,PASS
q43_causal_price,能量守恒,4.547473508864641e-13,PASS
q43_causal_price,SOC动态,9.094947017729282e-13,PASS
q43_causal_price,SOC边界,0.0,PASS
q43_causal_price,充放电上限,0.0,PASS
q43_causal_price,非负,0.0,PASS
q43_causal_price,同时充放电,0.0,PASS
q43_causal_price,跨日连续,0.0,PASS
q43_causal_price,费用独立核算,5.820766091346741e-11,PASS
q43_causal_price,有效计划交易恒等式,2.2737367544323206e-13,PASS
q43_causal_price,紧急合并守恒,2.2737367544323206e-13,PASS
q43_causal_price,有限数值,0.0,PASS
