月份,平均负载,平均光伏
1.0,4725.773469153226,1589.1838943548387
2.0,4516.8965253224205,1966.4803466517858
3.0,4355.698995407706,2304.1967555331544
4.0,4392.976799050925,2701.685689328704
5.0,4401.6777526881715,2806.502396550179
6.0,4800.372629444444,2369.8265653009257
7.0,5337.258656070789,2723.254275
8.0,5045.177050336021,2915.9930929883517
9.0,4535.910432824075,2607.5995060879627
10.0,4347.019491330645,2364.313051769713
11.0,4337.6713466898145,1854.376335601852
12.0,4691.305896191756,1513.8368958781361
