model,case,cost,inventory_adjusted_cost,emergency,R,W,变化率
q3_D,baseline,1022900.2094873178,1022316.9255421348,6535.543268611706,1319.2826335059278,112718.5667680064,0.0
q3_D,eta085,1062287.8629186524,1061720.0578913195,8147.910915487094,1604.1348498260445,109565.30968020254,3.854297171915566
q3_D,eta095,988074.4712232042,987555.1171681267,7975.543342132357,1634.9358746511434,114906.33070756424,-3.4002966697997183
q3_D,capacity9600,1072754.830067224,1072606.198052718,11361.503897818762,2108.640457023973,124166.47881519375,4.919147013428815
q3_D,capacity14400,980034.0337025272,978884.9959008592,1940.0129255140896,339.9455252121991,100721.7827565785,-4.248382136316842
q3_D,emergency3,988322.1249137288,988009.676429583,13808.560837914489,4511.7139314601845,72310.70014538841,-3.355833035275113
q3_D,emergency7,1025514.4267947624,1024931.1428495796,9149.76057605639,1319.2826335059278,112718.5667680064,0.25571495904348485
q3_D,margin1,1096090.0713924563,1093889.7057844982,189.9853021953568,32.708152224387845,195103.36134153037,7.001036415826567
q3_D,fee025,996558.185537122,995920.8795043608,9374.988531195486,1902.8126332294728,113286.91005321185,-2.581982688369966
q3_D,fee075,1029034.6031445304,1027515.8792315964,1952.459801351108,378.44731541019695,101960.33906656563,0.5085461816749737
