method,margin,terminal,cost,R,Send,inventory_adjusted_cost
ridge,0.0,0.5,853269.9237340217,0.0,4502.047296945606,853843.7873340719
ridge,0.0,1.0,854122.3393315382,0.0,6509.197028550437,853927.2666571186
ridge,0.0,0.0,855154.8125813198,0.0,3793.815074204285,855999.9989622465
ma7,0.0,0.0,897764.2987295217,681.4918946275743,8561.201368306878,896783.1060425475
ma7,0.0,0.5,899273.8695759657,866.2826772810133,8561.201368306878,898292.6768889915
ma7,0.0,1.0,904320.519118673,685.6410439754601,10800.0,902481.6457853398
ma14,0.0,0.5,914690.9466323106,397.7018036121261,9055.458135250135,913520.4048643882
ma14,0.0,0.0,914871.968674312,401.43576770634985,8925.212695881433,913751.3237533153
ma14,0.0,1.0,919429.5666017693,144.69282964979803,10800.0,917590.693268436
ma30,0.0,0.5,926536.3017155831,841.0691726028267,9164.06028058081,925324.1546166207
mean,0.0,0.5,926536.3017155831,841.0691726028267,9164.06028058081,925324.1546166207
mean,0.0,0.0,926835.9388167023,851.2769614520377,9145.79344803311,925630.7897159185
ma30,0.0,0.0,926835.9388167023,851.2769614520377,9145.79344803311,925630.7897159185
ma30,0.0,1.0,931181.9658861442,499.6962120024214,10800.0,929343.0925528109
mean,0.0,1.0,931181.9658861442,499.6962120024214,10800.0,929343.0925528109
ridge,0.5,0.5,964274.2425107909,0.0,5961.0898586165895,964289.1489319131
ridge,0.5,1.0,965826.3989165223,0.0,7894.838750024492,965100.4888231084
ridge,0.5,0.0,966623.0383394291,0.0,5155.243603567565,966946.6633416296
ewma,0.0,0.5,984312.6266995546,4679.52565886756,10556.897567986705,982566.8855702833
ewma,0.0,0.0,986011.9309222307,4693.353338425411,10063.996122649443,984455.0196520828
ewma,0.0,1.0,988244.3672809302,4527.0411955088475,10800.0,986405.4939475969
ma7,0.5,0.5,1032096.6741346826,0.0,9831.291138338904,1030628.9118208227
ma7,0.5,0.0,1032115.56956968,0.0,9831.291138338904,1030647.8072558201
ma7,0.5,1.0,1041196.9570859445,0.0,10800.0,1039358.0837526112
ma14,0.5,0.5,1052479.3774175835,0.0,10296.551755060951,1050833.3744076525
ma14,0.5,0.0,1053141.2216197664,0.0,10138.588591425776,1051555.734078431
ma14,0.5,1.0,1060990.786931565,0.0,10800.0,1059151.9135982317
mean,0.5,0.5,1063189.3253400412,0.0,10646.758934335821,1061409.158446129
ma30,0.5,0.5,1063189.3253400412,0.0,10646.758934335821,1061409.158446129
ma30,0.5,0.0,1063925.9077313277,0.0,10368.087669927065,1062252.499411767
mean,0.5,0.0,1063925.9077313277,0.0,10368.087669927065,1062252.499411767
mean,0.5,1.0,1071633.3209163323,0.0,10800.0,1069794.447582999
ma30,0.5,1.0,1071633.3209163323,0.0,10800.0,1069794.447582999
ridge,1.0,0.5,1077602.4990696772,0.0,7079.6803413123425,1077188.8750304764
ridge,1.0,1.0,1079790.0017606483,0.0,9198.969769381329,1078564.4808850118
ridge,1.0,0.0,1080044.449800827,0.0,6517.822542165485,1079846.0727041215
ewma,0.5,0.5,1099448.6639363596,0.0,10800.0,1097609.7906030263
ewma,0.5,0.0,1101494.6748754885,0.0,10800.0,1099655.8015421552
ewma,0.5,1.0,1104928.9025360604,0.0,10800.0,1103090.0292027271
ma7,1.0,0.0,1172057.270484258,0.0,10800.0,1170218.3971509247
ma7,1.0,0.5,1172198.7215302584,0.0,10800.0,1170359.8481969251
ma7,1.0,1.0,1183726.2612180854,0.0,10800.0,1181887.3878847521
ma14,1.0,0.5,1194417.9311452236,0.0,10800.0,1192579.0578118903
ma14,1.0,0.0,1194886.7769500955,0.0,10800.0,1193047.9036167623
ma14,1.0,1.0,1205031.7977657581,0.0,10800.0,1203192.9244324248
ma30,1.0,0.5,1206502.8982929545,0.0,10800.0,1204664.0249596213
mean,1.0,0.5,1206502.8982929545,0.0,10800.0,1204664.0249596213
mean,1.0,0.0,1207021.4129794252,0.0,10800.0,1205182.5396460919
ma30,1.0,0.0,1207021.4129794252,0.0,10800.0,1205182.5396460919
mean,1.0,1.0,1216713.8152706227,0.0,10800.0,1214874.9419372894
ma30,1.0,1.0,1216713.8152706227,0.0,10800.0,1214874.9419372894
ewma,1.0,0.5,1248325.8759113406,0.0,10800.0,1246487.0025780073
ewma,1.0,0.0,1250056.4891897594,0.0,10800.0,1248217.615856426
ewma,1.0,1.0,1254299.8694591576,0.0,10800.0,1252460.9961258243
