day,date,G0,G,R,W,base,increase,cancel,refund,adjustment,emergency,total,S0,Send,C,D,absolute_adjustment,surcharge
0,2025-01-01,54149.36566502058,54149.36566502058,34900.52509164609,0.0,37317.888238323496,0.0,0.0,0.0,0.0,219912.16430780757,257230.05254613108,6000.0,1200.0,7024.846,10010.125259999993,0.0,0.0
1,2025-01-02,98361.77352839505,98361.77352839505,1401.5231931666708,349.18944999999985,74683.01079987685,0.0,0.0,0.0,0.0,8870.028322289945,83553.0391221668,1200.0,2867.7302507407403,26462.68831172839,19933.820306833335,0.0,0.0
2,2025-01-03,98654.98702105624,98654.98702105624,0.0,42734.962797302236,58235.440278076494,0.0,0.0,0.0,0.0,0.0,58235.440278076494,2867.7302507407403,10694.127852716052,17743.815870050297,7328.733012962964,0.0,0.0
3,2025-01-04,121832.42188505118,121832.42188505118,0.0,78509.6209035478,79196.16896372184,0.0,0.0,0.0,0.0,0.0,79196.16896372184,10694.127852716052,8300.942468992791,3742.449790461321,5185.251175624604,0.0,0.0
4,2025-01-05,113491.30936326538,113491.30936326538,1317.4226242430386,27881.17505191789,95432.20830496142,0.0,0.0,0.0,0.0,6743.126160898049,102175.33446585946,8300.942468992791,1200.0,12014.183461494935,16122.336825904411,0.0,0.0
5,2025-01-06,120690.4339119925,120690.4339119925,0.0,22722.74033856061,98542.60622651395,0.0,0.0,0.0,0.0,0.0,98542.60622651395,1200.0,4590.521989059453,22546.014122517852,15210.801649085954,0.0,0.0
6,2025-01-07,121183.7228337285,121183.7228337285,0.0,24290.838586839738,100741.79485726511,0.0,0.0,0.0,0.0,0.0,100741.79485726511,4590.521989059453,5482.546091088593,18542.955816118687,14216.972519229908,0.0,0.0
7,2025-01-08,123280.4624179696,123280.4624179696,0.0,30237.735877426334,102261.86572712439,0.0,0.0,0.0,0.0,0.0,102261.86572712439,5482.546091088593,5803.020024046599,16991.045706391553,13474.320482514953,0.0,0.0
8,2025-01-09,124142.35598025858,124142.35598025858,0.0,29741.615522359625,104037.81504770115,0.0,0.0,0.0,0.0,0.0,104037.81504770115,5803.020024046599,5993.856468343758,16512.79758613078,13203.613244898488,0.0,0.0
9,2025-01-10,125136.51091707557,125136.51091707557,0.0,73386.91816148219,80548.22726803878,0.0,0.0,0.0,0.0,0.0,80548.22726803878,5993.856468343758,10800.0,10175.772949663746,3916.846910737014,0.0,0.0
10,2025-01-11,111884.83483208754,111884.83483208754,0.0,66011.93553975946,73160.5117579177,0.0,0.0,0.0,0.0,0.0,73160.5117579177,10800.0,10800.0,5300.06671400744,4293.054038346027,0.0,0.0
11,2025-01-12,96363.49598743775,96363.49598743775,0.0,10369.265956834615,79553.22702371971,0.0,0.0,0.0,0.0,0.0,79553.22702371971,10800.0,2783.7325422528274,12331.486013555845,17203.14438295269,0.0,0.0
12,2025-01-13,112626.63620404791,112626.63620404791,0.0,19916.570686481788,90031.4743530553,0.0,0.0,0.0,0.0,0.0,90031.4743530553,2783.7325422528274,3524.8645765021056,19837.314316184755,15401.2057652853,0.0,0.0
13,2025-01-14,114499.8219508546,114499.8219508546,0.0,21009.24192097927,91973.9732853004,0.0,0.0,0.0,0.0,0.0,91973.9732853004,3524.8645765021056,4090.1481381855356,19481.641531720656,15271.374435178644,0.0,0.0
14,2025-01-15,116104.80780500993,116104.80780500993,0.0,21969.57762711009,94596.81298416533,0.0,0.0,0.0,0.0,0.0,94596.81298416533,4090.1481381855356,4549.645280811251,19217.577980017748,15152.690735451237,0.0,0.0
15,2025-01-16,117426.28259213758,117426.28259213758,0.0,24456.736605649457,95634.57932398176,0.0,0.0,0.0,0.0,0.0,95634.57932398176,4549.645280811251,5016.629487910791,18290.04605315025,14394.65151666212,0.0,0.0
16,2025-01-17,118036.4903889331,118036.4903889331,0.0,67917.69702008826,74233.1024509109,0.0,0.0,0.0,0.0,0.0,74233.1024509109,5016.629487910791,10800.0,11708.665480515183,4278.985578337011,0.0,0.0
17,2025-01-18,103911.56348984427,103911.56348984427,0.0,59902.166657130176,65939.47035875688,0.0,0.0,0.0,0.0,0.0,65939.47035875688,10800.0,10523.614005941356,5345.448477369419,4578.560661322007,0.0,0.0
18,2025-01-19,95026.79092499171,95026.79092499171,0.0,10793.863940527946,77336.59932164133,0.0,0.0,0.0,0.0,0.0,77336.59932164133,10523.614005941356,2894.8594892820365,12714.034646265813,17164.247128468698,0.0,0.0
19,2025-01-20,108980.38660141162,108980.38660141162,0.0,16138.18348827225,86481.63385682672,0.0,0.0,0.0,0.0,0.0,86481.63385682672,2894.8594892820365,3764.590680060955,21012.46574441237,16237.339181272991,0.0,0.0
20,2025-01-21,110984.78392003864,110984.78392003864,0.0,23516.857759485054,87090.69769459838,0.0,0.0,0.0,0.0,0.0,87090.69769459838,3764.590680060955,4413.59738816341,17936.397052252847,13944.375575032598,0.0,0.0
21,2025-01-22,111586.71919341807,111586.71919341807,0.0,19360.038546161064,89956.08991589822,0.0,0.0,0.0,0.0,0.0,89956.08991589822,4413.59738816341,4167.831193544684,18679.504503932632,15351.58822334229,0.0,0.0
22,2025-01-23,114035.88535713757,114035.88535713757,0.0,20137.100255718302,93427.40789749705,0.0,0.0,0.0,0.0,0.0,93427.40789749705,4167.831193544684,4921.321055268253,19235.36118877921,14902.501687359952,0.0,0.0
23,2025-01-24,115088.91139529696,115088.91139529696,0.0,67747.7595917659,70273.06902917993,0.0,0.0,0.0,0.0,0.0,70273.06902917993,4921.321055268253,10800.0,11689.092648802514,4177.3539952714655,0.0,0.0
24,2025-01-25,100576.55557678998,100576.55557678998,0.0,61364.84695958951,61590.69356449896,0.0,0.0,0.0,0.0,0.0,61590.69356449896,10800.0,10431.535348807756,5809.217561088583,5037.084410554771,0.0,0.0
25,2025-01-26,92607.28401983966,92607.28401983966,0.0,9258.114233301738,74787.77711343594,0.0,0.0,0.0,0.0,0.0,74787.77711343594,10431.535348807756,2944.7591493449227,12569.885961690245,16919.70620848565,0.0,0.0
26,2025-01-27,106734.45258441358,106734.45258441358,0.0,18295.01974848562,82841.68349974183,0.0,0.0,0.0,0.0,0.0,82841.68349974183,2944.7591493449227,3510.2954528114933,19660.701997235305,15416.185944640685,0.0,0.0
27,2025-01-28,108735.00547476423,108735.00547476423,0.0,17352.722519786912,85333.74024133114,0.0,0.0,0.0,0.0,0.0,85333.74024133114,3510.2954528114933,4075.8098245043416,20489.056072563606,16087.172484252955,0.0,0.0
28,2025-01-29,110708.47959630389,110708.47959630389,0.0,25467.9152795165,85978.47686315527,0.0,0.0,0.0,0.0,0.0,85978.47686315527,4075.8098245043416,4792.841531729269,16894.919633078756,13039.55636629136,0.0,0.0
29,2025-01-30,110753.19256398302,110753.19256398302,0.0,23531.454203666406,87295.42709156171,0.0,0.0,0.0,0.0,0.0,87295.42709156171,4792.841531729269,4896.665531222891,17819.54724967906,14340.391672695783,0.0,0.0
30,2025-01-31,111687.1011536744,111687.1011536744,0.0,65331.8389562514,68410.39436580036,0.0,0.0,0.0,0.0,0.0,68410.39436580036,4896.665531222891,10800.0,11989.148029071692,4398.208881648672,0.0,0.0
31,2025-02-01,50874.59677852456,50874.59677852456,0.0,20072.211289614366,25686.133250610805,0.0,0.0,0.0,0.0,0.0,25686.133250610805,10800.0,5247.411666541783,7481.78450362768,11057.574948050818,0.0,0.0
32,2025-02-02,101922.33987267554,101922.33987267554,0.0,20888.903096992217,76100.71940821914,0.0,0.0,0.0,0.0,0.0,76100.71940821914,5247.411666541783,4655.371009984864,16894.712718866063,14217.553893182738,0.0,0.0
33,2025-02-03,101959.5746218697,101959.5746218697,0.0,18110.665158279488,77105.76472601065,0.0,0.0,0.0,0.0,0.0,77105.76472601065,4655.371009984864,4934.377439657935,17794.143036233952,14162.15007264374,0.0,0.0
34,2025-02-04,102944.22465334254,102944.22465334254,0.0,18263.545209825435,77974.54619142255,0.0,0.0,0.0,0.0,0.0,77974.54619142255,4934.377439657935,4991.624376361348,18075.227634126477,14589.412140609378,0.0,0.0
35,2025-02-05,97992.40979865092,97992.40979865092,0.0,15164.840197118465,73263.72757170838,0.0,0.0,0.0,0.0,0.0,73263.72757170838,4991.624376361348,3349.1981344238784,18722.769662857143,16643.62704465801,0.0,0.0
36,2025-02-06,99927.95310393622,99927.95310393622,0.0,15447.020694811788,74818.20918149425,0.0,0.0,0.0,0.0,0.0,74818.20918149425,3349.1981344238784,3999.138364042168,19078.573609480576,14868.698417022802,0.0,0.0
37,2025-02-07,53028.049616507094,53028.049616507094,0.0,17625.389376881496,24526.90429744545,0.0,0.0,0.0,0.0,0.0,24526.90429744545,3999.138364042168,4565.4513433981,16248.94153441369,12651.960961454755,0.0,0.0
38,2025-02-08,46853.546495296265,46853.546495296265,0.0,12475.828685717766,21479.80312487102,0.0,0.0,0.0,0.0,0.0,21479.80312487102,4565.4513433981,4401.099374114956,15518.272975087666,12717.717882175839,0.0,0.0
39,2025-02-09,91095.21270512676,91095.21270512676,0.0,8194.857624425616,66629.20089554501,0.0,0.0,0.0,0.0,0.0,66629.20089554501,4401.099374114956,3965.8208828663655,19666.78819030642,16321.849076271928,0.0,0.0
40,2025-02-10,94530.4565172418,94530.4565172418,0.0,16624.731338321446,67557.8031854128,0.0,0.0,0.0,0.0,0.0,67557.8031854128,3965.8208828663655,4273.4580930516295,17380.07424431727,13800.986648730257,0.0,0.0
41,2025-02-11,92536.27485273313,92536.27485273313,0.0,13845.73595041782,66706.82255124554,0.0,0.0,0.0,0.0,0.0,66706.82255124554,4273.4580930516295,4256.254828676863,18344.340562732923,14874.398793750948,0.0,0.0
42,2025-02-12,91038.61188722079,91038.61188722079,0.0,13399.979408592182,64915.993987105445,0.0,0.0,0.0,0.0,0.0,64915.993987105445,4256.254828676863,3244.835692292695,17274.597726531687,14902.701381236417,0.0,0.0
43,2025-02-13,90794.52468770344,90794.52468770344,0.0,15570.812170729894,64069.12020520111,0.0,0.0,0.0,0.0,0.0,64069.12020520111,3244.835692292695,3863.4981536569558,17565.459395152935,13671.225894846044,0.0,0.0
44,2025-02-14,43394.880142236056,43394.880142236056,0.0,9986.982504845391,19666.28508150102,0.0,0.0,0.0,0.0,0.0,19666.28508150102,3863.4981536569558,4243.734450086115,17178.3323891461,13572.236568422097,0.0,0.0
45,2025-02-15,42476.53753237185,42476.53753237185,0.0,10546.194732941964,19754.96898925688,0.0,0.0,0.0,0.0,0.0,19754.96898925688,4243.734450086115,3790.284965966661,16096.611763881003,13446.360064451113,0.0,0.0
46,2025-02-16,87420.41790473505,87420.41790473505,0.0,8324.233299692263,62092.52149131759,0.0,0.0,0.0,0.0,0.0,62092.52149131759,3790.284965966661,3801.6453298228744,19518.848303011662,15800.042797968861,0.0,0.0
47,2025-02-17,88164.68619792578,88164.68619792578,0.0,12178.015933976993,62325.46658793534,0.0,0.0,0.0,0.0,0.0,62325.46658793534,3801.6453298228744,5385.091963201779,17777.395406532207,12974.588309250075,0.0,0.0
48,2025-02-18,85876.1331370073,85876.1331370073,0.0,10382.80307660903,60620.9439602463,0.0,0.0,0.0,0.0,0.0,60620.9439602463,5385.091963201779,5621.989431802006,16782.81344907755,13380.871172012612,0.0,0.0
49,2025-02-19,82975.40383546415,82975.40383546415,0.0,8183.1967795220935,57919.939369553154,0.0,0.0,0.0,0.0,0.0,57919.939369553154,5621.989431802006,3912.4712039327983,18165.505672057956,16252.625999449232,0.0,0.0
50,2025-02-20,81818.86820706158,81818.86820706158,0.0,8168.646512054356,56690.68574739267,0.0,0.0,0.0,0.0,0.0,56690.68574739267,3912.4712039327983,2907.670148387609,18744.257429813493,16087.169468139602,0.0,0.0
51,2025-02-21,38594.517910538656,38594.517910538656,0.0,9194.227804522858,17340.047885372966,0.0,0.0,0.0,0.0,0.0,17340.047885372966,2907.670148387609,3505.705425375527,17377.875386280724,13537.847313598257,0.0,0.0
52,2025-02-22,36984.709544796904,36984.709544796904,0.0,5678.370238643318,16887.459478215867,0.0,0.0,0.0,0.0,0.0,16887.459478215867,3505.705425375527,3874.2473407513507,16473.09841569486,13011.521992874601,0.0,0.0
53,2025-02-23,76902.7390138717,76902.7390138717,0.0,1756.5111085518552,52362.02561068802,0.0,0.0,0.0,0.0,0.0,52362.02561068802,3874.2473407513507,3484.621486978543,20868.618370431897,17254.244148445367,0.0,0.0
54,2025-02-24,76765.67777477221,76765.67777477221,26.193750000000136,4916.976255865497,51998.91077627191,0.0,0.0,0.0,0.0,133.2083156250007,52132.11909189691,3484.621486978543,3448.423677837224,19497.050949827582,15825.189297587527,0.0,0.0
55,2025-02-25,76754.0304820585,76754.0304820585,0.0,7361.752522813844,51246.730025079356,0.0,0.0,0.0,0.0,0.0,51246.730025079356,3448.423677837224,3497.9329422059695,18559.980989365555,14989.02626345423,0.0,0.0
56,2025-02-26,74255.92049003785,74255.92049003785,38.74219667154773,3281.090782639485,49377.43482418473,0.0,0.0,0.0,0.0,249.8677974331471,49627.30262161788,3497.9329422059695,1699.9384215421485,20089.04704912641,17890.323178389826,0.0,0.0
57,2025-02-27,74043.56974632828,74043.56974632828,334.78057884802973,3253.386355735848,47638.06150112557,0.0,0.0,0.0,0.0,1751.726820623923,49389.7883217495,1699.9384215421485,1452.000548877146,23113.28344652088,18944.903677080416,0.0,0.0
58,2025-02-28,33659.08874434019,33659.08874434019,0.0,6995.390097360006,13927.940442047264,0.0,0.0,0.0,0.0,0.0,13927.940442047264,1452.000548877146,1471.8876173122783,17648.456502045075,14277.351405064894,0.0,0.0
59,2025-03-01,33743.973308508255,33743.973308508255,0.0,7067.490863502371,13920.192177683279,0.0,0.0,0.0,0.0,0.0,13920.192177683279,1471.8876173122783,1314.6575536685689,16627.49246816781,13609.775956495263,0.0,0.0
60,2025-03-02,72415.10475877038,72415.10475877038,4672.819899745281,896.2505572985468,47049.104250282006,0.0,0.0,0.0,0.0,29057.630967317215,76106.73521759923,1314.6575536685689,1432.4086915220446,19617.84742359125,15784.480389040793,0.0,0.0
61,2025-03-03,74127.22007400276,74127.22007400276,3205.511775950871,1150.0496244904282,47825.36730364294,0.0,0.0,0.0,0.0,19751.762448755464,67577.12975239841,1432.4086915220446,1356.186927660904,22284.92199792058,18119.386405790705,0.0,0.0
62,2025-03-04,75856.53082994437,75856.53082994437,0.6247333333334382,2167.344683774282,49419.875422417135,0.0,0.0,0.0,0.0,3.1064865000005213,49422.981908917136,1356.186927660904,1508.535361758427,22911.786081485916,18421.43313531582,0.0,0.0
