model,G0,G,R,W,base,increase,cancel,refund,adjustment,emergency,total,C,D,absolute_adjustment,surcharge,initial_Feb,final_Dec
q2,21282449.771658346,21282449.771658346,224803.87735812803,2386041.4950608034,13206734.126497691,0.0,0.0,0.0,0.0,1299372.0276165474,14506106.154114239,6265231.05336712,5083208.394378115,0.0,0.0,10800.0,1498.6209436133258
q3_A,21607434.672473982,21607434.672473982,220412.16205492412,2708964.1553846374,13373507.024868084,0.0,0.0,0.0,0.0,1269700.4294400022,14643207.454308089,6253811.289887922,5074118.10571032,0.0,0.0,10800.0,1321.1545543294362
q3_B,21479683.513179574,21240594.069586027,94010.95693432838,2198675.838246323,13318904.421431236,671500.0605933415,282410.1662935696,564820.3325871392,389089.89429977187,557459.2246670213,14265453.540398031,6342985.772336949,5146246.079029579,1463924.1088978224,506243.51982468343,10800.0,1435.9961814983285
q3_C,21474524.357509285,20836990.95374445,66497.08690503743,1760530.86776094,13316839.959386151,860286.712094307,476988.1244760082,953976.2489520164,383298.58761829865,383000.39912446175,14083138.946128909,6379747.630459865,5175979.952537982,2191479.4740315797,763750.3618407772,10800.0,1484.0312605653824
q3_D,21599718.812769335,20886520.290980324,28257.01489311267,1754903.241563372,13370199.040186865,1040200.6714177041,586313.9713663537,1172627.9427327076,453886.7000513502,144776.160857257,13968861.901095472,6469214.05886687,5248529.489523469,2473408.947127293,933047.5285055883,10800.0,1393.2201763300038
q42,21314863.442999613,21314863.442999613,237748.18070807416,2369517.30254543,13814250.076356007,0.0,0.0,0.0,0.0,1435158.8504781136,15249408.926834121,6574554.290777234,5330649.464581643,0.0,0.0,10800.0,4955.012164351862
q43_A,21631964.544144876,21631964.544144876,226064.43936058012,2680233.8726736926,13980208.3793793,0.0,0.0,0.0,0.0,1364176.6760079334,15344385.055387232,6553465.248117486,5314859.632252388,0.0,0.0,10800.0,3519.1319141969693
q43_B,21507759.37127817,21250425.01979927,100535.83268719137,2153700.1498024752,13927522.060057018,695804.373388076,297470.43264450465,594940.8652890093,398333.9407435713,591276.6772499862,14917132.678050574,6655336.287184728,5397265.079467409,1474674.5336329946,529405.2237738633,10800.0,3641.459058023639
q43_C,21520988.503264874,20878493.40454013,73796.43838244685,1744460.8420513729,13933608.007074183,886780.7583134692,500178.9248616429,1000357.8497232858,386601.83345182636,408387.6694650749,14728597.509991085,6710111.954388349,5441472.44848381,2187032.249733152,795772.5109661326,10800.0,3820.2606341701376
q43_D,21664655.55917846,20930071.69397126,36078.7781213968,1741312.8425267697,13997173.656923093,1059436.7180124465,620353.1642987191,1240706.3285974383,439083.5537137276,172551.51481349266,14608808.725450313,6800928.453156665,5515280.318557445,2475121.8838705523,973498.7369695348,10800.0,3546.3649993938257
q42_causal_price,21268854.760391567,21268854.760391567,230283.12273903895,2385790.496069562,13934226.256871685,0.0,0.0,0.0,0.0,1385411.042813011,15319637.299684696,6204709.24295699,5030551.350862613,0.0,0.0,10800.0,5536.817702832683
q43_causal_price,21599161.84755094,20854673.653909232,34167.832220534845,1733111.441606061,14110126.406803863,1080861.32337723,626038.2524388211,1252076.5048776423,454823.0709384086,167309.57010574316,14732259.047848016,6428488.243230643,5211947.6936735995,2495639.9513550866,986325.3602312312,10800.0,5386.425936910182
