model,case,cost,inventory_adjusted_cost,emergency,R,W
q2,baseline,1042596.6616518111,1042440.7270328788,42026.70217797344,8340.500349413842,191813.26083170617
q2,eta085,1079272.2477416645,1079173.1103387796,41322.75438925837,8291.183988019713,190863.54329548537
q2,eta095,1004457.6684129231,1004299.0159745304,40567.15484047729,7941.209846819177,191561.15911115956
q2,roundtrip090,1005395.8752813005,1005241.9720876302,40543.71002846469,7936.854478156072,191571.26411279468
q2,capacity9600,1089349.268097295,1089693.9819199392,45670.83741865936,9184.785708781337,201737.753805457
q2,capacity14400,995582.6021904415,995202.3602326204,29799.41418024761,5521.828116914154,178783.7323491388
q2,capacity18000,943648.2663535606,943022.1087763201,23845.326494876317,4393.785819305211,160753.3226990376
q2,emergency3,1000927.4326078058,1001587.8732401262,48751.871735978595,15939.670800857526,97194.10016210485
q2,emergency7,1059407.3425230004,1059251.4079040682,58837.38304916283,8340.500349413842,191813.26083170617
q2,margin0,1042596.6616518111,1042440.7270328788,42026.70217797344,8340.500349413842,191813.26083170617
q2,margin1,1123767.4136229977,1121463.4349389025,1792.0524209961313,383.46427949062854,351468.5862130853
q2,terminal0,1044859.218378081,1045139.3234708253,43066.060964473516,8549.15702961561,196956.10824681833
q2,terminal1,1048123.2506123967,1042568.8006034519,40947.46178726268,7840.560017222039,194263.37168378307
q2,error150,1040658.1565811795,1040229.0341678929,28990.18238500383,6381.746103963712,198591.29689459535
q3_D,baseline,1022900.2094873178,1022316.9255421348,6535.543268611706,1319.2826335059278,112718.56676800639
q3_D,eta085,1062287.8629186524,1061720.0578913197,8147.910915487094,1604.1348498260445,109565.30968020254
q3_D,eta095,988074.4712232042,987555.1171681267,7975.543342132357,1634.9358746511434,114906.33070756425
q3_D,roundtrip090,989076.4613477666,988531.2704302445,7977.744091754316,1619.5907998184864,114860.14299097582
q3_D,capacity9600,1072754.830067224,1072606.198052718,11361.503897818762,2108.640457023973,124166.47881519377
q3_D,capacity14400,980034.0337025272,978884.9959008592,1940.0129255140896,339.9455252121991,100721.7827565785
q3_D,capacity18000,933054.7639342125,931393.8726357876,2203.9619597119363,379.9631591999091,87071.12979059383
q3_D,emergency3,988322.1249137288,988009.676429583,13808.560837914489,4511.7139314601845,72310.70014538841
q3_D,emergency7,1025514.4267947625,1024931.1428495795,9149.76057605639,1319.2826335059278,112718.56676800639
q3_D,margin0,1022900.2094873178,1022316.9255421348,6535.543268611706,1319.2826335059278,112718.56676800639
q3_D,margin1,1096090.0713924565,1093889.7057844982,189.98530219535678,32.708152224387845,195103.36134153034
q3_D,terminal0,1030550.2860634639,1030634.3580591145,10408.315047943948,2470.0722356253273,115478.25657788181
q3_D,terminal1,1033015.3485459153,1026557.4988719977,9110.464616486308,1838.8337959569933,115297.18472050357
q3_D,fee025,996558.185537122,995920.8795043608,9374.988531195486,1902.8126332294728,113286.91005321185
q3_D,fee075,1029034.6031445304,1027515.8792315965,1952.4598013511077,378.44731541019695,101960.33906656565
q3_D,no_refund,1032305.7125243093,1030790.0320028249,1063.6703595599508,219.16959399179282,179631.50647512364
q3_D,pchip,1023293.2717729664,1022705.5037460326,7005.165295079502,1417.2891955095267,110959.10681186157
q3_D,error150,1023928.7021280271,1023369.8955588321,6563.665920230587,1143.3733949049663,107780.21840495465
