检查,误差,状态
mean/L/d=31未来污染,0.0,PASS
mean/L/d=78未来污染,0.0,PASS
mean/L/d=171未来污染,0.0,PASS
mean/L/d=265未来污染,0.0,PASS
mean/L/d=354未来污染,0.0,PASS
mean/PV/d=31未来污染,0.0,PASS
mean/PV/d=78未来污染,0.0,PASS
mean/PV/d=171未来污染,0.0,PASS
mean/PV/d=265未来污染,0.0,PASS
mean/PV/d=354未来污染,0.0,PASS
ma7/L/d=31未来污染,0.0,PASS
ma7/L/d=78未来污染,0.0,PASS
ma7/L/d=171未来污染,0.0,PASS
ma7/L/d=265未来污染,0.0,PASS
ma7/L/d=354未来污染,0.0,PASS
ma7/PV/d=31未来污染,0.0,PASS
ma7/PV/d=78未来污染,0.0,PASS
ma7/PV/d=171未来污染,0.0,PASS
ma7/PV/d=265未来污染,0.0,PASS
ma7/PV/d=354未来污染,0.0,PASS
ma14/L/d=31未来污染,0.0,PASS
ma14/L/d=78未来污染,0.0,PASS
ma14/L/d=171未来污染,0.0,PASS
ma14/L/d=265未来污染,0.0,PASS
ma14/L/d=354未来污染,0.0,PASS
ma14/PV/d=31未来污染,0.0,PASS
ma14/PV/d=78未来污染,0.0,PASS
ma14/PV/d=171未来污染,0.0,PASS
ma14/PV/d=265未来污染,0.0,PASS
ma14/PV/d=354未来污染,0.0,PASS
ma30/L/d=31未来污染,0.0,PASS
ma30/L/d=78未来污染,0.0,PASS
ma30/L/d=171未来污染,0.0,PASS
ma30/L/d=265未来污染,0.0,PASS
ma30/L/d=354未来污染,0.0,PASS
ma30/PV/d=31未来污染,0.0,PASS
ma30/PV/d=78未来污染,0.0,PASS
ma30/PV/d=171未来污染,0.0,PASS
ma30/PV/d=265未来污染,0.0,PASS
ma30/PV/d=354未来污染,0.0,PASS
ewma/L/d=31未来污染,0.0,PASS
ewma/L/d=78未来污染,0.0,PASS
ewma/L/d=171未来污染,0.0,PASS
ewma/L/d=265未来污染,0.0,PASS
ewma/L/d=354未来污染,0.0,PASS
ewma/PV/d=31未来污染,0.0,PASS
ewma/PV/d=78未来污染,0.0,PASS
ewma/PV/d=171未来污染,0.0,PASS
ewma/PV/d=265未来污染,0.0,PASS
ewma/PV/d=354未来污染,0.0,PASS
ridge/L/d=31未来污染,0.0,PASS
ridge/L/d=78未来污染,0.0,PASS
ridge/L/d=171未来污染,0.0,PASS
ridge/L/d=265未来污染,0.0,PASS
ridge/L/d=354未来污染,0.0,PASS
ridge/PV/d=31未来污染,0.0,PASS
ridge/PV/d=78未来污染,0.0,PASS
ridge/PV/d=171未来污染,0.0,PASS
ridge/PV/d=265未来污染,0.0,PASS
ridge/PV/d=354未来污染,0.0,PASS
12时后实际值和预报污染不改变此前计划与状态,0.0,PASS
