day,date,G0,G,R,W,base,increase,cancel,refund,adjustment,emergency,total,S0,Send,C,D,absolute_adjustment,surcharge
0,2025-01-01,55701.850358288066,55701.850358288066,34716.10944554526,18.208766666666747,37824.86372097995,0.0,0.0,0.0,0.0,220573.20118972813,258398.06491070808,6000.0,2415.4427740740744,8372.01328333333,10007.432262833328,0.0,0.0
1,2025-01-02,98836.28155720164,98836.28155720164,1448.5162770000018,600.9022666666665,74191.66797113692,0.0,0.0,0.0,0.0,9550.977948960845,83742.64592009777,2415.4427740740744,4170.13795388889,27470.68757386831,20672.031273,0.0,0.0
2,2025-01-03,99396.21604282121,99396.21604282121,0.0,44805.67577002743,57951.39930147235,0.0,0.0,0.0,0.0,0.0,57951.39930147235,4170.13795388889,10800.0,16414.33191909008,7328.733012962964,0.0,0.0
3,2025-01-04,122183.87943648433,122183.87943648433,0.0,78949.21566790971,78998.65739801129,0.0,0.0,0.0,0.0,0.0,78998.65739801129,10800.0,8016.231362050589,5128.700926644308,6659.639524736358,0.0,0.0
4,2025-01-05,113751.14552765078,113751.14552765078,0.0,26174.15816330521,95381.10509274603,0.0,0.0,0.0,0.0,0.0,95381.10509274603,8016.231362050589,1233.6230244708836,13924.339832459646,17383.062768114054,0.0,0.0
5,2025-01-06,120659.58985372393,120659.58985372393,0.0,22076.890359347628,98313.14202992608,0.0,0.0,0.0,0.0,0.0,98313.14202992608,1233.6230244708836,5156.069193405574,23263.2465386057,15313.028144229404,0.0,0.0
6,2025-01-07,121022.8522784843,121022.8522784843,0.0,23894.830247573656,100400.27242445239,0.0,0.0,0.0,0.0,0.0,100400.27242445239,5156.069193405574,5925.991248403444,20358.90121796085,15797.780137050204,0.0,0.0
7,2025-01-08,122924.8141684196,122924.8141684196,0.0,30169.643102009562,101886.88986169416,0.0,0.0,0.0,0.0,0.0,101886.88986169416,5925.991248403444,5939.2160777876625,16932.98633314522,13703.816583401835,0.0,0.0
8,2025-01-09,124585.5712235458,124585.5712235458,0.0,29948.998301633517,103690.02186263556,0.0,0.0,0.0,0.0,0.0,103690.02186263556,5939.2160777876625,5929.272563869713,18705.084040904145,15160.067235658513,0.0,0.0
9,2025-01-10,125786.05699700954,125786.05699700954,0.0,73648.57946548652,80230.57324259948,0.0,0.0,0.0,0.0,0.0,80230.57324259948,5929.272563869713,10800.0,11911.348012310988,5264.537197454637,0.0,0.0
10,2025-01-11,112844.24058801107,112844.24058801107,0.0,68185.03785367822,72736.41660030372,0.0,0.0,0.0,0.0,0.0,72736.41660030372,10800.0,9069.417592592594,7109.685707015086,7316.369589348886,0.0,0.0
11,2025-01-12,98508.6352806484,98508.6352806484,0.0,10153.186994858183,80354.58478399788,0.0,0.0,0.0,0.0,0.0,80354.58478399788,9069.417592592594,3025.483377141778,15416.319366820902,17926.759481030662,0.0,0.0
12,2025-01-13,112817.60456610912,112817.60456610912,0.0,19696.500574603775,89472.87795027485,0.0,0.0,0.0,0.0,0.0,89472.87795027485,3025.483377141778,3772.5129622213217,21972.73893824788,17125.591913409196,0.0,0.0
13,2025-01-14,114486.44177227224,114486.44177227224,0.0,20782.955335964445,91646.82675865243,0.0,0.0,0.0,0.0,0.0,91646.82675865243,3772.5129622213217,4311.745051862727,20725.603275248417,16302.429772273948,0.0,0.0
14,2025-01-15,116006.42783512914,116006.42783512914,0.0,21843.771055757075,94238.35095406845,0.0,0.0,0.0,0.0,0.0,94238.35095406845,4311.745051862727,4698.820276922049,19704.979702554476,15612.66585651574,0.0,0.0
15,2025-01-16,117414.77040272643,117414.77040272643,0.0,24288.303760202394,95217.76303340249,0.0,0.0,0.0,0.0,0.0,95217.76303340249,4698.820276922049,5118.629866552977,19339.402957137972,15287.087764613927,0.0,0.0
16,2025-01-17,118579.6222623126,118579.6222623126,0.0,68245.13424629635,73879.4434600324,0.0,0.0,0.0,0.0,0.0,73879.4434600324,5118.629866552977,10800.0,13327.060153932998,5681.685604583412,0.0,0.0
17,2025-01-18,104633.52258715332,104633.52258715332,0.0,61256.70901795163,65763.1323683154,0.0,0.0,0.0,0.0,0.0,65763.1323683154,10800.0,9525.869388888888,6742.221592289581,6607.917039754559,0.0,0.0
18,2025-01-19,96533.79436705832,96533.79436705832,0.0,10539.708408044376,77646.12520382507,0.0,0.0,0.0,0.0,0.0,77646.12520382507,9525.869388888888,3153.5327331554804,16031.839381617592,18720.89288927032,0.0,0.0
19,2025-01-20,108700.18859076241,108700.18859076241,0.0,15985.085953078478,86080.95485557738,0.0,0.0,0.0,0.0,0.0,86080.95485557738,3153.5327331554804,3930.5042927305667,20782.903600349207,16134.877512665282,0.0,0.0
20,2025-01-21,110957.76550915313,110957.76550915313,0.0,23292.0658418766,86951.38712964635,0.0,0.0,0.0,0.0,0.0,86951.38712964635,3930.5042927305667,4661.523059662902,18588.83207212678,14399.037088183592,0.0,0.0
21,2025-01-22,111667.82606363935,111667.82606363935,0.0,19273.039739892854,89682.07654626005,0.0,0.0,0.0,0.0,0.0,89682.07654626005,4661.523059662902,4361.376298349108,19821.86338032763,16325.8414232478,0.0,0.0
22,2025-01-23,113945.42033496074,113945.42033496074,0.0,19674.693251915895,93160.44700890256,0.0,0.0,0.0,0.0,0.0,93160.44700890256,4361.376298349108,5430.903188764169,19695.933061427968,14991.131578383105,0.0,0.0
23,2025-01-24,115147.58396580767,115147.58396580767,0.0,68414.57403082695,69843.04450362455,0.0,0.0,0.0,0.0,0.0,69843.04450362455,5430.903188764169,10473.869287984115,12446.985766751499,5543.388981770766,0.0,0.0
24,2025-01-25,101497.32808343071,101497.32808343071,0.0,62786.29980054738,61582.73656937405,0.0,0.0,0.0,0.0,0.0,61582.73656937405,10473.869287984115,9303.083927322634,6974.524425326348,6703.0716091096765,0.0,0.0
25,2025-01-26,94230.86489128665,94230.86489128665,0.0,9136.876751907621,75165.09561644743,0.0,0.0,0.0,0.0,0.0,75165.09561644743,9303.083927322634,3051.279851590013,15903.272495816038,18508.27438977035,0.0,0.0
26,2025-01-27,106649.34318970847,106649.34318970847,0.0,17865.62029272591,82647.03245375137,0.0,0.0,0.0,0.0,0.0,82647.03245375137,3051.279851590013,3933.8872848289047,19970.839072285416,15382.03295863619,0.0,0.0
27,2025-01-28,108470.11034983698,108470.11034983698,0.0,17466.030240171272,84660.17981524723,0.0,0.0,0.0,0.0,0.0,84660.17981524723,3933.8872848289047,4019.6966495000797,20770.80165681574,16747.12091381669,0.0,0.0
28,2025-01-29,110821.66755317533,110821.66755317533,0.0,25191.706538412018,85714.12321689879,0.0,0.0,0.0,0.0,0.0,85714.12321689879,4019.6966495000797,4927.044684345266,18042.87754422443,13798.117579461124,0.0,0.0
29,2025-01-30,111128.73734296838,111128.73734296838,0.0,23510.317324791176,87003.83548101288,0.0,0.0,0.0,0.0,0.0,87003.83548101288,4927.044684345266,4955.657785415178,20263.607599373492,16387.770364529606,0.0,0.0
30,2025-01-31,112116.5285977003,112116.5285977003,0.0,65755.0445652841,68163.59626042392,0.0,0.0,0.0,0.0,0.0,68163.59626042392,4955.657785415178,10800.0,12301.331522578152,4704.1705401619665,0.0,0.0
31,2025-02-01,51684.39188256023,51684.39188256023,0.0,20284.618958092262,25317.538834703555,0.0,0.0,0.0,0.0,0.0,25317.538834703555,10800.0,5131.416750424519,11175.378503960903,14153.78151282627,0.0,0.0
32,2025-02-02,101760.14442399809,101760.14442399809,0.0,20155.10003803512,75705.08470969542,0.0,0.0,0.0,0.0,0.0,75705.08470969542,5131.416750424519,5168.602626029694,16922.627094306918,13673.860658343947,0.0,0.0
33,2025-02-03,101129.78550979568,101129.78550979568,0.0,17482.26156587945,76261.55921004001,0.0,0.0,0.0,0.0,0.0,76261.55921004001,5168.602626029694,5313.982866149784,17367.185409516573,13936.577965600347,0.0,0.0
34,2025-02-04,102668.4266475385,102668.4266475385,0.0,17750.41618357463,77374.24853326815,0.0,0.0,0.0,0.0,0.0,77374.24853326815,5313.982866149784,5475.5728659456,18830.08165340859,15106.93513944472,0.0,0.0
35,2025-02-05,97954.26938943607,97954.26938943607,0.0,14915.204613473914,72731.07581566679,0.0,0.0,0.0,0.0,0.0,72731.07581566679,5475.5728659456,3600.9270719659735,20935.8895116342,18645.25171900537,0.0,0.0
36,2025-02-06,99609.70733880943,99609.70733880943,0.0,14305.238758487785,74293.70033000316,0.0,0.0,0.0,0.0,0.0,74293.70033000316,3600.9270719659735,4953.262353108357,20085.840055930727,15052.428692275744,0.0,0.0
37,2025-02-07,52545.084881673145,52545.084881673145,0.0,17763.434713675982,23992.702088735703,0.0,0.0,0.0,0.0,0.0,23992.702088735703,4953.262353108357,4602.926008636563,17322.490586079548,14346.520084749049,0.0,0.0
38,2025-02-08,47115.295044948834,47115.295044948834,0.0,12582.519866595347,21166.37038752559,0.0,0.0,0.0,0.0,0.0,21166.37038752559,4602.926008636563,4340.1038384358,16800.802183513173,13845.189721826351,0.0,0.0
39,2025-02-09,91259.00704188965,91259.00704188965,0.0,7451.857102123102,66373.91258871552,0.0,0.0,0.0,0.0,0.0,66373.91258871552,4340.1038384358,4706.517288834921,20641.904567056208,16390.17059395632,0.0,0.0
40,2025-02-10,93834.45121201927,93834.45121201927,0.0,16495.75899703636,66961.19696873098,0.0,0.0,0.0,0.0,0.0,66961.19696873098,4706.517288834921,4295.916322585041,17797.87105933932,14785.816427689737,0.0,0.0
41,2025-02-11,92619.75043787586,92619.75043787586,0.0,13637.714255356823,66341.84528921009,0.0,0.0,0.0,0.0,0.0,66341.84528921009,4295.916322585041,4430.254361316551,19160.709549091294,15399.270499905586,0.0,0.0
