day,date,G0,G,R,W,base,increase,cancel,refund,adjustment,emergency,total,S0,Send,C,D,absolute_adjustment,surcharge
0,2025-01-01,54149.36566502058,54149.36566502058,34900.52509164609,0.0,37317.888238323496,0.0,0.0,0.0,0.0,219912.16430780757,257230.05254613108,6000.0,1200.0,7024.846,10010.125259999993,0.0,0.0
1,2025-01-02,98361.77352839505,98361.77352839505,1401.5231931666708,349.18944999999985,74683.01079987685,0.0,0.0,0.0,0.0,8870.028322289945,83553.0391221668,1200.0,2867.7302507407403,26462.68831172839,19933.820306833335,0.0,0.0
2,2025-01-03,98654.98702105624,98654.98702105624,0.0,42734.962797302236,58235.440278076494,0.0,0.0,0.0,0.0,0.0,58235.440278076494,2867.7302507407403,10694.127852716052,17743.815870050297,7328.733012962964,0.0,0.0
3,2025-01-04,121832.42188505118,121832.42188505118,0.0,78509.6209035478,79196.16896372184,0.0,0.0,0.0,0.0,0.0,79196.16896372184,10694.127852716052,8300.942468992791,3742.449790461321,5185.251175624604,0.0,0.0
4,2025-01-05,113491.30936326538,113491.30936326538,1317.4226242430386,27881.17505191789,95432.20830496142,0.0,0.0,0.0,0.0,6743.126160898049,102175.33446585946,8300.942468992791,1200.0,12014.183461494935,16122.336825904411,0.0,0.0
5,2025-01-06,120690.4339119925,120690.4339119925,0.0,22722.74033856061,98542.60622651395,0.0,0.0,0.0,0.0,0.0,98542.60622651395,1200.0,4590.521989059453,22546.014122517852,15210.801649085954,0.0,0.0
6,2025-01-07,121183.7228337285,121183.7228337285,0.0,24290.838586839738,100741.79485726511,0.0,0.0,0.0,0.0,0.0,100741.79485726511,4590.521989059453,5482.546091088593,18542.955816118687,14216.972519229908,0.0,0.0
7,2025-01-08,123280.4624179696,123280.4624179696,0.0,30237.735877426334,102261.86572712439,0.0,0.0,0.0,0.0,0.0,102261.86572712439,5482.546091088593,5803.020024046599,16991.045706391553,13474.320482514953,0.0,0.0
8,2025-01-09,124142.35598025858,124142.35598025858,0.0,29741.615522359625,104037.81504770115,0.0,0.0,0.0,0.0,0.0,104037.81504770115,5803.020024046599,5993.856468343758,16512.79758613078,13203.613244898488,0.0,0.0
9,2025-01-10,125136.51091707557,125136.51091707557,0.0,73386.91816148219,80548.22726803878,0.0,0.0,0.0,0.0,0.0,80548.22726803878,5993.856468343758,10800.0,10175.772949663746,3916.846910737014,0.0,0.0
10,2025-01-11,111884.83483208754,111884.83483208754,0.0,66011.93553975946,73160.5117579177,0.0,0.0,0.0,0.0,0.0,73160.5117579177,10800.0,10800.0,5300.06671400744,4293.054038346027,0.0,0.0
11,2025-01-12,96363.49598743775,96363.49598743775,0.0,10369.265956834615,79553.22702371971,0.0,0.0,0.0,0.0,0.0,79553.22702371971,10800.0,2783.7325422528274,12331.486013555845,17203.14438295269,0.0,0.0
12,2025-01-13,112626.63620404791,112626.63620404791,0.0,19916.570686481788,90031.4743530553,0.0,0.0,0.0,0.0,0.0,90031.4743530553,2783.7325422528274,3524.8645765021056,19837.314316184755,15401.2057652853,0.0,0.0
13,2025-01-14,114499.8219508546,114499.8219508546,0.0,21009.24192097927,91973.9732853004,0.0,0.0,0.0,0.0,0.0,91973.9732853004,3524.8645765021056,4090.1481381855356,19481.641531720656,15271.374435178644,0.0,0.0
14,2025-01-15,116104.80780500993,116104.80780500993,0.0,21969.57762711009,94596.81298416533,0.0,0.0,0.0,0.0,0.0,94596.81298416533,4090.1481381855356,4549.645280811251,19217.577980017748,15152.690735451237,0.0,0.0
15,2025-01-16,117426.28259213758,117426.28259213758,0.0,24456.736605649457,95634.57932398176,0.0,0.0,0.0,0.0,0.0,95634.57932398176,4549.645280811251,5016.629487910791,18290.04605315025,14394.65151666212,0.0,0.0
16,2025-01-17,118036.4903889331,118036.4903889331,0.0,67917.69702008826,74233.1024509109,0.0,0.0,0.0,0.0,0.0,74233.1024509109,5016.629487910791,10800.0,11708.665480515183,4278.985578337011,0.0,0.0
17,2025-01-18,103911.56348984427,103911.56348984427,0.0,59902.166657130176,65939.47035875688,0.0,0.0,0.0,0.0,0.0,65939.47035875688,10800.0,10523.614005941356,5345.448477369419,4578.560661322007,0.0,0.0
18,2025-01-19,95026.79092499171,95026.79092499171,0.0,10793.863940527946,77336.59932164133,0.0,0.0,0.0,0.0,0.0,77336.59932164133,10523.614005941356,2894.8594892820365,12714.034646265813,17164.247128468698,0.0,0.0
19,2025-01-20,108980.38660141162,108980.38660141162,0.0,16138.18348827225,86481.63385682672,0.0,0.0,0.0,0.0,0.0,86481.63385682672,2894.8594892820365,3764.590680060955,21012.46574441237,16237.339181272991,0.0,0.0
20,2025-01-21,110984.78392003864,110984.78392003864,0.0,23516.857759485054,87090.69769459838,0.0,0.0,0.0,0.0,0.0,87090.69769459838,3764.590680060955,4413.59738816341,17936.397052252847,13944.375575032598,0.0,0.0
21,2025-01-22,111586.71919341807,111586.71919341807,0.0,19360.038546161064,89956.08991589822,0.0,0.0,0.0,0.0,0.0,89956.08991589822,4413.59738816341,4167.831193544684,18679.504503932632,15351.58822334229,0.0,0.0
22,2025-01-23,114035.88535713757,114035.88535713757,0.0,20137.100255718302,93427.40789749705,0.0,0.0,0.0,0.0,0.0,93427.40789749705,4167.831193544684,4921.321055268253,19235.36118877921,14902.501687359952,0.0,0.0
23,2025-01-24,115088.91139529696,115088.91139529696,0.0,67747.7595917659,70273.06902917993,0.0,0.0,0.0,0.0,0.0,70273.06902917993,4921.321055268253,10800.0,11689.092648802514,4177.3539952714655,0.0,0.0
24,2025-01-25,100576.55557678998,100576.55557678998,0.0,61364.84695958951,61590.69356449896,0.0,0.0,0.0,0.0,0.0,61590.69356449896,10800.0,10431.535348807756,5809.217561088583,5037.084410554771,0.0,0.0
25,2025-01-26,92607.28401983966,92607.28401983966,0.0,9258.114233301738,74787.77711343594,0.0,0.0,0.0,0.0,0.0,74787.77711343594,10431.535348807756,2944.7591493449227,12569.885961690245,16919.70620848565,0.0,0.0
26,2025-01-27,106734.45258441358,106734.45258441358,0.0,18295.01974848562,82841.68349974183,0.0,0.0,0.0,0.0,0.0,82841.68349974183,2944.7591493449227,3510.2954528114933,19660.701997235305,15416.185944640685,0.0,0.0
27,2025-01-28,108735.00547476423,108735.00547476423,0.0,17352.722519786912,85333.74024133114,0.0,0.0,0.0,0.0,0.0,85333.74024133114,3510.2954528114933,4075.8098245043416,20489.056072563606,16087.172484252955,0.0,0.0
28,2025-01-29,110708.47959630389,110708.47959630389,0.0,25467.9152795165,85978.47686315527,0.0,0.0,0.0,0.0,0.0,85978.47686315527,4075.8098245043416,4792.841531729269,16894.919633078756,13039.55636629136,0.0,0.0
29,2025-01-30,110753.19256398302,110753.19256398302,0.0,23531.454203666406,87295.42709156171,0.0,0.0,0.0,0.0,0.0,87295.42709156171,4792.841531729269,4896.665531222891,17819.54724967906,14340.391672695783,0.0,0.0
30,2025-01-31,111687.1011536744,111687.1011536744,0.0,65331.8389562514,68410.39436580036,0.0,0.0,0.0,0.0,0.0,68410.39436580036,4896.665531222891,10800.0,11989.148029071692,4398.208881648672,0.0,0.0
31,2025-02-01,50996.63157841891,39000.96204731171,0.0,8782.751519787536,25277.538417295786,213.34704920079983,3288.0904847726247,6576.180969545249,-3074.7434355718246,0.0,22202.794981723957,10800.0,4273.636367796698,9019.7992798622,13179.764685671356,12239.821247007902,3359.206167839558
32,2025-02-02,102691.6094744495,89551.89725996458,0.0,7712.572092426441,76029.58481448967,1124.731027058255,5944.08103243559,11888.16206487118,-4819.350005377335,0.0,71210.23480911233,4273.636367796698,4160.382407640682,18868.293587781853,15385.246370243722,14349.688777333968,6318.991374788341
33,2025-02-03,106280.76758086923,91666.69337731713,0.0,7343.872787660306,80286.60138895908,1111.8480708934449,6826.205617619678,13652.411235239357,-5714.3575467262335,0.0,74572.24384223286,4160.382407640682,4547.943236781987,19774.20707068241,15668.30298102558,15773.23805335416,7196.821641250826
34,2025-02-04,108991.0162878722,92513.89287456592,0.0,7938.262828450099,83089.97921604727,660.3544382444638,7390.795199149659,14781.590398299319,-6730.440760905196,0.0,76359.53845514207,4547.943236781987,4247.44256361894,19216.9300103293,15836.163914213474,17165.74529374137,7610.913345231147
35,2025-02-05,102587.17202562165,90188.36708939476,0.0,5323.8258237535165,77000.328429655,2712.210538460894,6298.839425917269,12597.678851834538,-3586.628887456376,0.0,73413.6995421986,4247.44256361894,4615.584392067613,19919.92966686368,15803.815384555777,15480.905750447087,7202.909605404234
36,2025-02-06,106690.15650821422,89658.86293706324,0.0,5828.3640136577205,81038.28618563974,2424.970127869992,8376.533519488261,16753.067038976522,-5951.563391618269,0.0,75086.72279402148,4615.584392067613,4479.272940248224,19379.5895440858,15820.147837346949,20005.429052018877,9184.856895444924
37,2025-02-07,56116.57178231451,46323.6569082363,0.0,12505.63217891293,27261.84906850825,0.0,3239.1348175698604,6478.269635139721,-3239.1348175698604,0.0,24022.71425093839,4479.272940248224,3531.4981495332854,15080.749338421821,13068.404275765124,9792.914874078211,3239.1348175698604
38,2025-02-08,46235.47154321763,43650.424206469106,0.0,8339.743468004875,21751.036148724917,990.6066195443569,1342.5382038993525,2685.076407798705,-351.9315843549957,0.0,21399.10456436992,3531.4981495332854,4280.005040904481,16104.535892439382,12371.01787064182,3868.9724448544493,1672.7404104141383
39,2025-02-09,96045.41125925859,88312.51721442003,0.0,5156.584407927897,71559.6455820951,669.435381275315,3417.1757172325124,6834.351434465025,-2747.740335957197,0.0,68811.9052461379,4280.005040904481,4396.911804240981,18396.319751698014,14795.802911872543,8738.394318309478,3640.3208443242843
40,2025-02-10,94088.39932708714,81695.12984183285,0.0,4443.743912845675,67953.19608882128,191.84402490639417,5427.096089734492,10854.192179468984,-5235.252064828098,0.0,62717.94402399319,4396.911804240981,3859.374860541619,17939.639973596157,15014.891627942314,12629.308706815551,5491.044098036624
41,2025-02-11,95050.9677827754,82470.5594988635,0.0,3512.8089668703433,69318.80820131609,119.21880687879917,5770.654705305771,11541.309410611542,-5651.435898426972,0.0,63667.37230288911,3859.374860541619,3773.2090879543025,20077.382073623172,16340.228674963353,12708.652260653942,5810.394307598704
42,2025-02-12,93023.80727220423,81666.54136297586,0.0,2497.616724091413,66743.69255267647,1999.2885716421902,5410.361755886344,10820.723511772689,-3411.0731842441546,0.0,63332.619368432315,3773.2090879543025,3814.951693249504,20340.106109396995,16437.91760384589,14362.990246880365,6076.791279767074
43,2025-02-13,87305.04121793693,77937.64622232722,0.0,3475.564590327679,61169.49821036884,1108.950774912688,4020.7578055881254,8041.515611176251,-2911.807030675437,0.0,58257.6911796934,3814.951693249504,3423.512421498003,18341.56821004863,15208.965594715743,11189.994904861453,4390.408063892355
44,2025-02-14,45057.95874938526,41750.67454591064,0.0,7567.549052848681,19828.45364342398,2506.818839611475,1288.9805429170965,2577.961085834193,1217.8382966943786,0.0,21046.29194011836,3423.512421498003,4671.164714767382,17149.66638133081,12768.342704935516,7879.464272695417,2124.5868227875885
45,2025-02-15,42873.546983072956,39672.661369737674,0.0,8337.310854178251,19826.14615499614,562.786084780851,1052.7368050127093,2105.4736100254186,-489.9507202318582,0.0,19336.19543476428,4671.164714767382,3686.9939103781053,15479.01652373567,13423.757108176243,4477.175201409143,1240.3321666063262
46,2025-02-16,91449.72937019117,81344.10093966204,0.0,1718.739445566645,65751.77163173776,2628.6680374350635,5318.240566083714,10636.481132167428,-2689.5725286486504,0.0,63062.199103089115,3686.9939103781053,4257.010230406593,19657.724768788183,15409.74237469279,13785.116507986437,6194.463245228735
47,2025-02-17,92198.43426744158,75691.44708408913,0.0,2692.0801399424595,65634.88655501127,0.0,6889.140178636941,13778.280357273881,-6889.140178636941,0.0,58745.74637637433,4257.010230406593,2547.8087215343717,17651.50071297375,15835.996935493733,16506.987183352452,6889.140178636941
48,2025-02-18,85278.56065365058,78385.22540059194,0.0,2566.588064828394,59411.038558291984,49.323048993940304,2862.3178928738,5724.6357857476,-2812.9948438798597,0.0,56598.043714412124,2547.8087215343717,2812.7730820683914,18362.008568155747,14634.759015725533,7019.853270229203,2878.758909205113
49,2025-02-19,84293.86876296243,78990.10294310682,47.44233207274294,3173.7646568835903,58087.06637042102,626.4669642290859,2479.348770876296,4958.697541752592,-1852.88180664721,257.3272091625577,56491.51177293636,2812.7730820683914,1678.477401409709,21080.628145028695,18096.174910066053,6173.9325737548315,2688.171092285991
50,2025-02-20,87207.80539441561,78474.88485792092,45.725298144463295,2563.0405756717973,60443.25646315674,1958.5459147146948,4275.911055552104,8551.822111104208,-2317.365140837409,256.54178523951134,58382.43310755885,1678.477401409709,2574.747908427526,21883.11784602221,16918.681998961958,11523.77474514343,4928.7596937903345
51,2025-02-21,40366.86690875782,37983.64831167682,0.0,9580.288066084693,17983.679920863666,489.9000574809601,1159.3213019240068,2318.6426038480136,-669.4212444430468,0.0,17314.25867642062,2574.747908427526,2044.4205934998083,17475.751556282812,14632.653344024016,3270.014497748306,1322.6213210843268
52,2025-02-22,42472.16933659803,39501.57827517543,0.0,7445.224157574883,19172.129909529962,218.57128274403158,1090.5757197773864,2181.151439554773,-872.0044370333549,0.0,18300.125472496606,2044.4205934998083,2922.5402590027393,18006.755449024073,13795.164214756856,3336.683971407955,1163.432814025397
53,2025-02-23,85525.73010539991,75647.36098095542,0.0,816.5836282996485,58935.527624901624,465.97660076625624,4273.414269051575,8546.82853810315,-3807.437668285318,0.0,55128.0899566163,2922.5402590027393,2054.1729672465067,21476.074904752837,18177.151235430407,10557.965721919274,4428.739802640326
54,2025-02-24,83474.3060572013,74303.03527170126,77.71680000000015,1683.419386128867,57522.11669476587,101.06035285387642,4009.5117544158115,8019.023508831623,-3908.451401561935,396.4653396000008,54010.130632803935,2054.1729672465067,2561.6968044288474,21250.145344429613,16755.846275523876,9490.654249202638,4043.198538700437
55,2025-02-25,86409.99682565563,70976.11499953146,54.573509017001626,2429.528637471958,58402.61076625262,95.05038479243723,6203.927410544035,12407.85482108807,-6108.877025751598,273.92375379531825,52567.657494296334,2561.6968044288474,1482.414206360944,19743.110400022586,16963.2737622794,15743.257111585619,6235.610872141514
56,2025-02-26,73623.61845954414,75268.8622762066,0.0,1355.357106471658,48452.90164131904,1906.5110462022258,50.76430843539517,101.52861687079034,1855.7467377668306,0.0,50308.64837908588,1482.414206360944,2390.093505617251,22535.504037215374,17436.846900813773,1899.8580297931699,686.2679905028037
